ticker,name,asset_class,sub_class,domicile,exchange,currency,aum_tier,ter_bps_approx,deployed_in_strategy
EEM,iShares MSCI Emerging Markets,Equity,EM Broad,US,NYSE,USD,XXL,70.0,B
EXV1.DE,iShares Stoxx Europe 600 Banks (UCITS),Equity,Europe Sector,DE,Xetra,EUR,L,46.0,D
EXH1.DE,iShares Stoxx Europe 600 Oil & Gas (UCITS),Equity,Europe Sector,DE,Xetra,EUR,M,46.0,D
EXH3.DE,iShares Stoxx Europe 600 Industrials (UCITS),Equity,Europe Sector,DE,Xetra,EUR,M,46.0,D
EXH9.DE,iShares Stoxx Europe 600 Utilities (UCITS),Equity,Europe Sector,DE,Xetra,EUR,M,46.0,D
EXV3.DE,iShares Stoxx Europe 600 Technology (UCITS),Equity,Europe Sector,DE,Xetra,EUR,M,46.0,D
EFA,iShares MSCI EAFE,Equity,Intl Developed,US,NYSE,USD,XXL,32.0,B
EWJ,iShares MSCI Japan,Equity,Single Country,US,NYSE,USD,L,50.0,B
ITA,iShares US Aerospace & Defense,Equity,Thematic,US,CBOE,USD,XL,40.0,C
ICLN,iShares Global Clean Energy,Equity,Thematic,US,NASDAQ,USD,L,41.0,C
CSP1.L,"iShares Core S&P 500 (UCITS, USD-acc)",Equity,US Broad,UK,LSE,USD,XXL,7.0,A
CNDX.L,"iShares NASDAQ 100 (UCITS, USD-acc)",Equity,US Broad,UK,LSE,USD,L,33.0,A
IUSP.L,iShares FTSE EPRA NAREIT US Property,Equity,US REITs,UK,LSE,USD,S,40.0,A
IUFS.L,iShares S&P 500 Financials Sector (UCITS),Equity,US Sector,UK,LSE,USD,L,15.0,A
IUHC.L,iShares S&P 500 Health Care Sector (UCITS),Equity,US Sector,UK,LSE,USD,L,15.0,A
SOXX,iShares Semiconductor,Equity,US Sector,US,NASDAQ,USD,L,35.0,A
IUCD.L,iShares S&P 500 Consumer Discretionary,Equity,US Sector,UK,LSE,USD,M,15.0,A
IUCS.L,iShares S&P 500 Consumer Staples (UCITS),Equity,US Sector,UK,LSE,USD,M,15.0,A
IUES.L,iShares S&P 500 Energy Sector (UCITS),Equity,US Sector,UK,LSE,USD,M,15.0,A
IUIS.L,iShares S&P 500 Industrials Sector (UCITS),Equity,US Sector,UK,LSE,USD,M,15.0,A
IUUS.L,iShares S&P 500 Utilities Sector (UCITS),Equity,US Sector,UK,LSE,USD,M,15.0,A
IUCM.L,iShares S&P 500 Comm Services (UCITS),Equity,US Sector,UK,LSE,USD,S,15.0,A
IUMS.L,iShares S&P 500 Materials Sector (UCITS),Equity,US Sector,UK,LSE,USD,S,15.0,A
IJR,iShares Core S&P Small-Cap,Equity,US Small-Cap,US,NYSE,USD,XXL,6.0,B
IDP6.L,iShares S&P SmallCap 600 (UCITS),Equity,US Small-Cap,UK,LSE,USD,M,30.0,A
IEF,iShares 7-10y US Treasury,Fixed Income,US Govt,US,NASDAQ,USD,XL,15.0,B
TLT,iShares 20+y US Treasury,Fixed Income,US Govt,US,NASDAQ,USD,XL,15.0,B
HYG,iShares iBoxx US High Yield Corp Bond,Fixed Income,US HY,US,NYSE,USD,L,49.0,B
TIP,iShares TIPS Bond,Fixed Income,US TIPS,US,NYSE,USD,L,19.0,B
IAU,iShares Gold Trust,Commodity,Gold Spot,US,NYSE,USD,XXL,25.0,
SGOL,(Not iShares — Aberdeen),Commodity,Gold Spot,—,—,—,L,17.0,
SLV,iShares Silver Trust,Commodity,Silver Spot,US,NYSE,USD,L,50.0,
IBIT,iShares Bitcoin Trust,Crypto,BTC,US,NASDAQ,USD,XXL,25.0,
IB1B.L,"iShares Bitcoin (UCITS, UK)",Crypto,BTC,UK,LSE,USD,S,15.0,
ETHA,iShares Ethereum Trust,Crypto,ETH,US,NASDAQ,USD,L,25.0,
IETH.L,"iShares Ethereum (UCITS, UK)",Crypto,ETH,UK,LSE,USD,S,15.0,
HMEM.L,iShares Core MSCI EM (UCITS),Equity,EM Broad,UK,LSE,USD,XXL,18.0,
IEMG,iShares Core MSCI EM,Equity,EM Broad,US,NYSE,USD,XXL,9.0,
EMXC,iShares MSCI EM ex-China,Equity,EM ex-China,US,NASDAQ,USD,L,18.0,
EXSA.DE,iShares Stoxx Europe 600 (broad),Equity,Europe Broad,DE,Xetra,EUR,L,20.0,
EXH4.DE,iShares Stoxx Europe 600 Health Care,Equity,Europe Sector,DE,Xetra,EUR,M,46.0,
EXH5.DE,iShares Stoxx Europe 600 Cons Staples,Equity,Europe Sector,DE,Xetra,EUR,S,46.0,
