date,ticker,nav,so,close
2026-08-03,159801.SZ,,,1.109
2026-08-03,ARKG,38.593,,38.56
2026-08-03,ARKK,71.174,,71.24
2026-08-03,BLOK,59.3483,,59.26
2026-08-03,BOTZ,35.65,,35.22
2026-08-03,CIBR,91.76,,91.83
2026-08-03,COPX,78.95,,78.86
2026-08-03,CQQQ,50.22,,50.3
2026-08-03,DBC,29.42,111400000.0,29.45
2026-08-03,EEM,64.41153,752400000.0,64.09
2026-08-03,EFA,105.48984,938400000.0,105.58
2026-08-03,EWJ,92.24827,227850000.0,92.39
2026-08-03,EXH1.DE,53.8834,,53.9
2026-08-03,EXH4.DE,119.0399,,119.24
2026-08-03,EXH9.DE,57.258,,57.3
2026-08-03,EXV1.DE,41.9121,,41.99
2026-08-03,EXV3.DE,93.4385,,93.47
2026-08-03,GDX,74.26,,74.1
2026-08-03,GLD,369.39526,260300000.0,371.54
2026-08-03,IBIT,35.65597,,35.64
2026-08-03,ICLN,17.6157,,17.55
2026-08-03,IEF,92.90695,146000000.0,92.95
2026-08-03,IHI,52.48422,,52.51
2026-08-03,IJR,145.42265,565750016.0,145.46
2026-08-03,ITA,239.52335,,239.66
2026-08-03,JETS,31.3306,,31.28
2026-08-03,LIT,69.81,,69.22
2026-08-03,MOO,81.62,11200000.0,81.72
2026-08-03,PAVE,56.31,,56.36
2026-08-03,PHO,70.14,,70.17
2026-08-03,QQQ,687.83,393100000.0,687.99
2026-08-03,REMX,65.83,,65.97
2026-08-03,SKYY,142.97,,143.0
2026-08-03,SOXX,504.08713,7650000.0,504.89
2026-08-03,SPY,746.6043,917782016.0,747.03
2026-08-03,TAN,49.29,,49.33
2026-08-03,TIP,107.53529,177700000.0,106.846
2026-08-03,TLT,82.18364,109700000.0,82.25
2026-08-03,URA,39.31,,39.07
2026-08-03,VGK,90.58,282092992.0,90.59
2026-08-03,VNQ,98.87,370180992.0,98.95
2026-08-03,WOOD,71.71267,,71.8
2026-08-03,XBI,147.06392,,147.01
2026-08-03,XLB,50.40134,71923696.0,50.43
2026-08-03,XLC,108.21146,,108.24
2026-08-03,XLE,59.53441,186424000.0,59.55
2026-08-03,XLF,56.93105,883444992.0,56.94
2026-08-03,XLI,179.72783,136626000.0,179.84
2026-08-03,XLP,85.05293,210172000.0,85.05
2026-08-03,XLRE,45.03436,,45.07
2026-08-03,XLU,44.32875,163274000.0,44.35
2026-08-03,XLV,162.53606,197415008.0,162.55
2026-08-03,XLY,116.04934,120253000.0,116.09
2026-08-03,XME,100.71641,17500200.0,100.65
